계약일,단지명,전용면적(㎡),거래금액(만원),시군구
2022-02-05,포항자이 애서턴,125.9389,"78,640",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,101.8942,"63,020",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,84.9146,"52,060",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,84.9253,"49,340",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,84.9146,"52,640",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,84.9146,"51,640",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,84.9409,"50,250",경상북도 포항북구 학잠동
2022-02-06,포항자이 애서턴,101.8942,"63,120",경상북도 포항북구 학잠동
2022-02-06,포항자이 애서턴,101.8942,"64,170",경상북도 포항북구 학잠동
2022-02-06,포항자이 애서턴,84.9146,"50,430",경상북도 포항북구 학잠동
2022-02-06,포항자이 애서턴,84.9253,"50,300",경상북도 포항북구 학잠동
2022-02-06,포항자이 애서턴,84.9253,"51,720",경상북도 포항북구 학잠동
2022-02-06,포항자이 애서턴,84.9253,"51,620",경상북도 포항북구 학잠동
2022-02-06,포항자이 애서턴,84.9253,"50,960",경상북도 포항북구 학잠동
2022-02-06,포항자이 애서턴,84.9253,"50,860",경상북도 포항북구 학잠동
2022-02-06,포항자이 애서턴,84.9409,"49,650",경상북도 포항북구 학잠동
2022-02-06,포항자이 애서턴,101.9361,"63,990",경상북도 포항북구 학잠동
2022-02-06,포항자이 애서턴,84.9146,"51,960",경상북도 포항북구 학잠동
2022-02-06,포항자이 애서턴,84.9253,"51,620",경상북도 포항북구 학잠동
2022-02-06,포항자이 애서턴,101.9744,"65,000",경상북도 포항북구 학잠동
2022-02-06,포항자이 애서턴,84.9409,"49,650",경상북도 포항북구 학잠동
2022-02-06,포항자이 애서턴,84.9253,"50,860",경상북도 포항북구 학잠동
2022-02-06,포항자이 애서턴,101.8942,"63,020",경상북도 포항북구 학잠동
2022-02-06,포항자이 애서턴,84.9146,"51,440",경상북도 포항북구 학잠동
2022-02-06,포항자이 애서턴,125.9389,"77,390",경상북도 포항북구 학잠동
2022-02-06,포항자이 애서턴,101.8942,"63,220",경상북도 포항북구 학잠동
2022-02-06,포항자이 애서턴,84.9253,"50,100",경상북도 포항북구 학잠동
2022-02-06,포항자이 애서턴,101.9744,"64,900",경상북도 포항북구 학잠동
2022-02-06,포항자이 애서턴,84.9146,"51,200",경상북도 포항북구 학잠동
